% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
84,2.42E-18,1.26E-17,3.03E-18,1.47E-18,9.87E-19
85,2.33E-18,1.21E-17,3.22E-18,1.50E-18,1.01E-18
86,2.25E-18,1.14E-17,3.43E-18,1.54E-18,1.02E-18
87,2.17E-18,1.05E-17,3.69E-18,1.58E-18,1.04E-18
88,2.10E-18,9.59E-18,3.98E-18,1.62E-18,1.06E-18
89,2.03E-18,8.68E-18,4.30E-18,1.66E-18,1.08E-18
90,1.96E-18,7.80E-18,4.69E-18,1.70E-18,1.10E-18
91,1.89E-18,6.94E-18,5.15E-18,1.75E-18,1.12E-18
92,1.83E-18,6.14E-18,5.69E-18,1.80E-18,1.15E-18
93,1.76E-18,5.43E-18,6.29E-18,1.85E-18,1.17E-18
94,1.69E-18,4.83E-18,6.96E-18,1.89E-18,1.17E-18
95,1.63E-18,4.33E-18,7.68E-18,1.93E-18,1.17E-18
96,1.57E-18,3.92E-18,8.48E-18,1.97E-18,1.18E-18
97,1.53E-18,3.57E-18,9.33E-18,2.02E-18,1.19E-18
98,1.48E-18,3.28E-18,1.02E-17,2.07E-18,1.21E-18
99,1.42E-18,3.03E-18,1.10E-17,2.11E-18,1.22E-18
100,1.36E-18,2.81E-18,1.18E-17,2.16E-18,1.23E-18
101,1.30E-18,2.63E-18,1.24E-17,2.23E-18,1.24E-18
102,1.27E-18,2.47E-18,1.28E-17,2.32E-18,1.27E-18
103,1.24E-18,2.34E-18,1.29E-17,2.43E-18,1.31E-18
104,1.22E-18,2.24E-18,1.27E-17,2.56E-18,1.34E-18
105,1.20E-18,2.16E-18,1.23E-17,2.73E-18,1.38E-18
106,1.19E-18,2.10E-18,1.17E-17,2.94E-18,1.43E-18
107,1.18E-18,2.06E-18,1.09E-17,3.21E-18,1.48E-18
108,1.19E-18,2.03E-18,1.01E-17,3.52E-18,1.54E-18
109,1.19E-18,1.99E-18,9.22E-18,3.85E-18,1.60E-18
110,1.18E-18,1.95E-18,8.29E-18,4.22E-18,1.66E-18
111,1.16E-18,1.90E-18,7.38E-18,4.66E-18,1.71E-18
112,1.14E-18,1.86E-18,6.58E-18,5.19E-18,1.77E-18
113,1.13E-18,1.81E-18,5.91E-18,5.82E-18,1.84E-18
114,1.11E-18,1.78E-18,5.36E-18,6.53E-18,1.91E-18
115,1.09E-18,1.73E-18,4.89E-18,7.32E-18,1.98E-18
116,1.07E-18,1.69E-18,4.48E-18,8.19E-18,2.04E-18
117,1.05E-18,1.64E-18,4.12E-18,9.13E-18,2.11E-18
118,1.03E-18,1.60E-18,3.81E-18,1.01E-17,2.18E-18
119,1.01E-18,1.57E-18,3.53E-18,1.10E-17,2.25E-18
120,9.97E-19,1.54E-18,3.28E-18,1.18E-17,2.33E-18
121,9.81E-19,1.51E-18,3.08E-18,1.24E-17,2.42E-18
122,9.61E-19,1.47E-18,2.92E-18,1.28E-17,2.54E-18
123,9.40E-19,1.42E-18,2.79E-18,1.29E-17,2.67E-18
124,9.18E-19,1.38E-18,2.67E-18,1.26E-17,2.81E-18
125,8.97E-19,1.35E-18,2.55E-18,1.20E-17,2.97E-18
126,8.78E-19,1.31E-18,2.44E-18,1.13E-17,3.14E-18
127,8.64E-19,1.28E-18,2.34E-18,1.04E-17,3.35E-18
128,8.51E-19,1.26E-18,2.26E-18,9.50E-18,3.60E-18
129,8.40E-19,1.23E-18,2.19E-18,8.60E-18,3.91E-18
130,8.27E-19,1.21E-18,2.13E-18,7.72E-18,4.28E-18
131,8.13E-19,1.18E-18,2.07E-18,6.88E-18,4.72E-18
132,7.97E-19,1.15E-18,2.00E-18,6.10E-18,5.26E-18
133,7.83E-19,1.12E-18,1.94E-18,5.43E-18,5.91E-18
134,7.67E-19,1.09E-18,1.89E-18,4.87E-18,6.65E-18
135,7.51E-19,1.07E-18,1.84E-18,4.40E-18,7.47E-18
136,7.33E-19,1.05E-18,1.78E-18,4.00E-18,8.34E-18
137,7.16E-19,1.02E-18,1.73E-18,3.66E-18,9.22E-18
138,7.00E-19,9.96E-19,1.67E-18,3.36E-18,1.01E-17
139,6.85E-19,9.74E-19,1.62E-18,3.13E-18,1.11E-17
140,6.68E-19,9.53E-19,1.58E-18,2.93E-18,1.19E-17
141,6.50E-19,9.30E-19,1.54E-18,2.76E-18,1.26E-17
142,6.32E-19,9.04E-19,1.49E-18,2.59E-18,1.29E-17
143,6.19E-19,8.84E-19,1.44E-18,2.44E-18,1.29E-17
144,6.08E-19,8.69E-19,1.40E-18,2.31E-18,1.27E-17
145,6.01E-19,8.57E-19,1.37E-18,2.22E-18,1.22E-17
146,5.93E-19,8.40E-19,1.35E-18,2.14E-18,1.15E-17
147,5.85E-19,8.21E-19,1.32E-18,2.07E-18,1.07E-17
148,5.76E-19,8.02E-19,1.28E-18,2.00E-18,9.77E-18
149,5.66E-19,7.88E-19,1.25E-18,1.92E-18,8.83E-18
150,5.56E-19,7.75E-19,1.23E-18,1.85E-18,7.88E-18
151,5.46E-19,7.63E-19,1.20E-18,1.78E-18,7.00E-18
152,5.36E-19,7.49E-19,1.17E-18,1.72E-18,6.21E-18
153,5.25E-19,7.36E-19,1.14E-18,1.66E-18,5.52E-18
154,5.15E-19,7.20E-19,1.12E-18,1.62E-18,4.94E-18
155,5.06E-19,7.05E-19,1.10E-18,1.57E-18,4.46E-18
156,4.97E-19,6.89E-19,1.08E-18,1.53E-18,4.06E-18
157,4.85E-19,6.71E-19,1.05E-18,1.47E-18,3.71E-18
158,4.72E-19,6.53E-19,1.01E-18,1.42E-18,3.40E-18
159,4.60E-19,6.36E-19,9.87E-19,1.37E-18,3.14E-18
