% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
0,3.1476923076923078e-21,1.9000000000000003e-21,1.4583870967741936e-21,9.6e-22,7.102857142857144e-22
1,2.6755384615384612e-20,1.7650000000000002e-20,1.3237258064516128e-20,9.13e-21,6.588476190476191e-21
2,4.616615384615384e-20,3.016666666666667e-20,2.3089354838709676e-20,1.5553333333333334e-20,1.141136507936508e-20
3,8.57323076923077e-20,5.653333333333334e-20,4.261612903225806e-20,2.9799999999999996e-20,2.1615873015873014e-20
4,1.2208307692307692e-19,8.040000000000001e-20,6.081935483870967e-20,4.2533333333333335e-20,3.100952380952381e-20
5,1.5975384615384615e-19,1.0533333333333333e-19,7.937741935483869e-20,5.673333333333333e-20,4.152063492063492e-20
6,1.9867692307692304e-19,1.2966666666666667e-19,9.946129032258065e-20,6.976666666666667e-20,5.133333333333334e-20
7,2.3658461538461535e-19,1.533333333333333e-19,1.1727419354838709e-19,8.31e-20,6.062222222222223e-20
8,2.8024615384615387e-19,1.8033333333333334e-19,1.4051612903225806e-19,9.743333333333335e-20,7.155238095238096e-20
9,3.215384615384615e-19,2.03e-19,1.5896774193548386e-19,1.105e-19,8.136507936507936e-20
10,3.6723076923076917e-19,2.3166666666666664e-19,1.7919354838709676e-19,1.2533333333333335e-19,9.30984126984127e-20
11,4.0276923076923073e-19,2.5399999999999996e-19,1.9551612903225805e-19,1.3566666666666668e-19,1.0235238095238096e-19
12,4.471076923076922e-19,2.8933333333333332e-19,2.2141935483870967e-19,1.5200000000000001e-19,1.1453968253968254e-19
13,4.955076923076923e-19,3.17e-19,2.476774193548387e-19,1.6666666666666665e-19,1.2606349206349206e-19
14,5.439076923076922e-19,3.48e-19,2.7251612903225806e-19,1.8433333333333333e-19,1.368888888888889e-19
15,5.852000000000001e-19,3.756666666666667e-19,2.8990322580645157e-19,2.003333333333333e-19,1.4736507936507936e-19
16,6.268307692307692e-19,4.04e-19,3.12258064516129e-19,2.1433333333333331e-19,1.581904761904762e-19
17,6.748923076923077e-19,4.306666666666667e-19,3.335483870967742e-19,2.293333333333333e-19,1.6761904761904762e-19
18,7.297230769230768e-19,4.51e-19,3.5803225806451617e-19,2.4366666666666665e-19,1.7774603174603175e-19
19,7.683076923076923e-19,4.816666666666667e-19,3.743548387096774e-19,2.6133333333333336e-19,1.8822222222222221e-19
20,8.170461538461538e-19,5.183333333333333e-19,3.995483870967742e-19,2.7800000000000003e-19,2.0079365079365082e-19
21,8.671384615384614e-19,5.526666666666667e-19,4.272258064516129e-19,2.92e-19,2.1301587301587305e-19
22,9.212923076923077e-19,5.753333333333333e-19,4.531290322580645e-19,3e-19,2.2384126984126983e-19
23,9.659692307692308e-19,5.963333333333333e-19,4.722903225806451e-19,3.103333333333333e-19,2.346666666666667e-19
24,1.013353846153846e-18,6.23e-19,4.896774193548387e-19,3.263333333333333e-19,2.4514285714285716e-19
25,1.0627692307692307e-18,6.559999999999999e-19,5.099032258064516e-19,3.46e-19,2.566666666666667e-19
26,1.127076923076923e-18,6.87e-19,5.333225806451612e-19,3.6666666666666664e-19,2.695873015873016e-19
27,1.1744615384615385e-18,7.256666666666667e-19,5.492903225806452e-19,3.8266666666666664e-19,2.814603174603175e-19
28,1.232e-18,7.530000000000001e-19,5.638387096774193e-19,3.9566666666666664e-19,2.894920634920635e-19
29,1.282769230769231e-18,7.836666666666667e-19,5.851290322580645e-19,4.06e-19,2.9682539682539687e-19
30,1.3606153846153845e-18,8.073333333333333e-19,6.120967741935483e-19,4.1966666666666667e-19,3.090476190476191e-19
31,1.4418461538461538e-18,8.470000000000001e-19,6.344516129032258e-19,4.366666666666667e-19,3.2092063492063497e-19
32,1.5298461538461538e-18,8.943333333333334e-19,6.649677419354838e-19,4.583333333333333e-19,3.3977777777777786e-19
33,1.6043076923076922e-18,9.363333333333335e-19,6.933548387096774e-19,4.72e-19,3.52e-19
34,1.692307692307692e-18,9.829999999999999e-19,7.299032258064516e-19,4.9166666666666665e-19,3.649206349206349e-19
35,1.763384615384615e-18,1.0093333333333332e-18,7.465806451612903e-19,5.056666666666667e-19,3.698095238095238e-19
36,1.868307692307692e-18,1.0366666666666665e-18,7.671612903225806e-19,5.24e-19,3.792380952380953e-19
37,1.9495384615384614e-18,1.0466666666666667e-18,7.774516129032258e-19,5.386666666666667e-19,3.8866666666666665e-19
38,2.081538461538461e-18,1.1000000000000001e-18,8.03e-19,5.623333333333333e-19,4.036825396825397e-19
39,2.183076923076923e-18,1.1433333333333334e-18,8.210967741935484e-19,5.746666666666667e-19,4.106666666666667e-19
40,2.3116923076923074e-18,1.1966666666666667e-18,8.611935483870968e-19,5.866666666666666e-19,4.2917460317460316e-19
41,2.4199999999999994e-18,1.216666666666667e-18,8.938387096774195e-19,5.979999999999999e-19,4.413968253968254e-19
42,2.5587692307692307e-18,1.2433333333333335e-18,9.197419354838709e-19,6.143333333333334e-19,4.515238095238095e-19
43,2.7686153846153844e-18,1.3e-18,9.452903225806452e-19,6.383333333333333e-19,4.647936507936508e-19
44,2.968307692307692e-18,1.3299999999999999e-18,9.64451612903226e-19,6.490000000000001e-19,4.68984126984127e-19
45,3.2323076923076917e-18,1.3966666666666667e-18,1.0063225806451613e-18,6.746666666666668e-19,4.84e-19
46,3.4556923076923077e-18,1.4299999999999999e-18,1.0173225806451613e-18,6.83e-19,4.853968253968254e-19
47,3.7806153846153845e-18,1.49e-18,1.0435806451612902e-18,7.03e-19,5.025079365079365e-19
48,4.112307692307692e-18,1.506666666666667e-18,1.0492580645161292e-18,7.096666666666667e-19,5.150793650793651e-19
49,4.542153846153845e-18,1.55e-18,1.0751612903225806e-18,7.263333333333332e-19,5.283492063492063e-19
50,5.0329230769230756e-18,1.6166666666666667e-18,1.1035483870967743e-18,7.37e-19,5.374285714285714e-19
51,5.63876923076923e-18,1.6833333333333334e-18,1.1461290322580644e-18,7.553333333333333e-19,5.451111111111111e-19
52,6.2649230769230764e-18,1.7433333333333337e-18,1.1745161290322581e-18,7.7e-19,5.538412698412698e-19
53,7.124615384615384e-18,1.8033333333333334e-18,1.2029032258064514e-18,7.850000000000001e-19,5.632698412698413e-19
54,8.028307692307691e-18,1.8599999999999997e-18,1.2312903225806453e-18,8.016666666666666e-19,5.733968253968254e-19
55,9.108e-18,1.9033333333333336e-18,1.2596774193548388e-18,8.103333333333333e-19,5.821269841269842e-19
