% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
0,3.18E-21,1.95E-21,1.50E-21,9.60E-22,7.12E-22
1,1.51E-20,1.00E-20,7.55E-21,5.05E-21,3.66E-21
2,2.56E-20,1.70E-20,1.29E-20,8.55E-21,6.25E-21
3,5.34E-20,3.57E-20,2.71E-20,1.82E-20,1.32E-20
4,8.55E-20,5.72E-20,4.34E-20,2.93E-20,2.14E-20
5,1.24E-19,8.29E-20,6.27E-20,4.30E-20,3.15E-20
6,1.62E-19,1.08E-19,8.21E-20,5.63E-20,4.14E-20
7,2.00E-19,1.33E-19,1.01E-19,6.99E-20,5.13E-20
8,2.41E-19,1.58E-19,1.22E-19,8.34E-20,6.13E-20
9,2.82E-19,1.84E-19,1.43E-19,9.70E-20,7.14E-20
10,3.26E-19,2.10E-19,1.64E-19,1.11E-19,8.22E-20
11,3.68E-19,2.36E-19,1.83E-19,1.24E-19,9.25E-20
12,4.10E-19,2.65E-19,2.04E-19,1.38E-19,1.04E-19
13,4.53E-19,2.94E-19,2.28E-19,1.51E-19,1.15E-19
14,5.01E-19,3.26E-19,2.54E-19,1.68E-19,1.26E-19
15,5.47E-19,3.56E-19,2.78E-19,1.84E-19,1.37E-19
16,5.91E-19,3.86E-19,3.00E-19,2.00E-19,1.48E-19
17,6.36E-19,4.14E-19,3.21E-19,2.15E-19,1.58E-19
18,6.84E-19,4.40E-19,3.44E-19,2.29E-19,1.68E-19
19,7.32E-19,4.66E-19,3.65E-19,2.45E-19,1.78E-19
20,7.80E-19,4.96E-19,3.88E-19,2.61E-19,1.89E-19
21,8.26E-19,5.31E-19,4.12E-19,2.77E-19,2.01E-19
22,8.78E-19,5.63E-19,4.39E-19,2.90E-19,2.13E-19
23,9.28E-19,5.90E-19,4.64E-19,3.01E-19,2.24E-19
24,9.77E-19,6.14E-19,4.85E-19,3.12E-19,2.35E-19
25,1.02E-18,6.41E-19,5.04E-19,3.28E-19,2.46E-19
26,1.08E-18,6.72E-19,5.25E-19,3.46E-19,2.58E-19
27,1.13E-18,7.08E-19,5.46E-19,3.65E-19,2.70E-19
28,1.19E-18,7.41E-19,5.64E-19,3.82E-19,2.81E-19
29,1.24E-18,7.74E-19,5.82E-19,3.95E-19,2.90E-19
30,1.31E-18,8.02E-19,6.04E-19,4.07E-19,2.99E-19
31,1.38E-18,8.34E-19,6.28E-19,4.21E-19,3.10E-19
32,1.46E-18,8.72E-19,6.55E-19,4.38E-19,3.24E-19
33,1.54E-18,9.16E-19,6.83E-19,4.56E-19,3.39E-19
34,1.63E-18,9.62E-19,7.16E-19,4.74E-19,3.53E-19
35,1.70E-18,1.00E-18,7.44E-19,4.90E-19,3.63E-19
36,1.79E-18,1.04E-18,7.69E-19,5.07E-19,3.72E-19
37,1.88E-18,1.06E-18,7.85E-19,5.23E-19,3.80E-19
38,1.99E-18,1.09E-18,8.05E-19,5.42E-19,3.92E-19
39,2.09E-18,1.13E-18,8.23E-19,5.59E-19,4.02E-19
40,2.22E-18,1.18E-18,8.52E-19,5.75E-19,4.16E-19
41,2.33E-18,1.22E-18,8.83E-19,5.86E-19,4.28E-19
42,2.46E-18,1.25E-18,9.17E-19,6.00E-19,4.42E-19
43,2.61E-18,1.29E-18,9.45E-19,6.17E-19,4.54E-19
44,2.79E-18,1.32E-18,9.70E-19,6.34E-19,4.63E-19
45,3.02E-18,1.38E-18,9.99E-19,6.54E-19,4.74E-19
46,3.25E-18,1.42E-18,1.02E-18,6.69E-19,4.81E-19
47,3.53E-18,1.48E-18,1.05E-18,6.87E-19,4.92E-19
48,3.82E-18,1.51E-18,1.07E-18,6.99E-19,5.02E-19
49,4.19E-18,1.56E-18,1.09E-18,7.13E-19,5.17E-19
50,4.61E-18,1.60E-18,1.11E-18,7.24E-19,5.28E-19
51,5.12E-18,1.66E-18,1.14E-18,7.40E-19,5.39E-19
52,5.70E-18,1.72E-18,1.17E-18,7.54E-19,5.47E-19
53,6.41E-18,1.79E-18,1.21E-18,7.70E-19,5.56E-19
54,7.21E-18,1.85E-18,1.24E-18,7.86E-19,5.65E-19
55,8.17E-18,1.90E-18,1.27E-18,7.99E-19,5.75E-19
56,9.13E-18,1.95E-18,1.29E-18,8.08E-19,5.81E-19
57,1.01E-17,2.01E-18,1.30E-18,8.15E-19,5.88E-19
58,1.10E-17,2.08E-18,1.33E-18,8.27E-19,5.95E-19
59,1.18E-17,2.18E-18,1.37E-18,8.48E-19,6.10E-19
60,1.24E-17,2.29E-18,1.42E-18,8.76E-19,6.25E-19
61,1.29E-17,2.42E-18,1.46E-18,9.03E-19,6.41E-19
62,1.30E-17,2.55E-18,1.50E-18,9.24E-19,6.54E-19
63,1.27E-17,2.69E-18,1.53E-18,9.40E-19,6.65E-19
64,1.21E-17,2.82E-18,1.56E-18,9.52E-19,6.73E-19
65,1.14E-17,3.01E-18,1.60E-18,9.70E-19,6.84E-19
66,1.05E-17,3.25E-18,1.65E-18,9.93E-19,7.00E-19
67,9.53E-18,3.58E-18,1.71E-18,1.02E-18,7.21E-19
68,8.52E-18,3.89E-18,1.77E-18,1.04E-18,7.38E-19
69,7.62E-18,4.23E-18,1.82E-18,1.06E-18,7.51E-19
70,6.78E-18,4.59E-18,1.87E-18,1.07E-18,7.61E-19
71,6.08E-18,5.07E-18,1.93E-18,1.11E-18,7.79E-19
72,5.45E-18,5.66E-18,1.99E-18,1.15E-18,8.00E-19
73,4.91E-18,6.40E-18,2.05E-18,1.18E-18,8.21E-19
74,4.43E-18,7.23E-18,2.10E-18,1.20E-18,8.37E-19
75,4.02E-18,8.16E-18,2.18E-18,1.22E-18,8.49E-19
76,3.70E-18,9.12E-18,2.27E-18,1.25E-18,8.64E-19
77,3.43E-18,1.01E-17,2.37E-18,1.28E-18,8.83E-19
78,3.20E-18,1.11E-17,2.47E-18,1.31E-18,9.00E-19
79,3.00E-18,1.19E-17,2.56E-18,1.34E-18,9.14E-19
80,2.83E-18,1.26E-17,2.65E-18,1.37E-18,9.26E-19
81,2.68E-18,1.29E-17,2.77E-18,1.41E-18,9.45E-19
82,2.53E-18,1.31E-17,2.90E-18,1.44E-18,9.66E-19
83,2.41E-18,1.28E-17,3.05E-18,1.47E-18,9.86E-19
84,2.32E-18,1.23E-17,3.22E-18,1.50E-18,1.01E-18
85,2.25E-18,1.15E-17,3.45E-18,1.54E-18,1.02E-18
86,2.17E-18,1.06E-17,3.71E-18,1.58E-18,1.04E-18
87,2.10E-18,9.65E-18,3.99E-18,1.62E-18,1.06E-18
88,2.03E-18,8.75E-18,4.32E-18,1.65E-18,1.08E-18
89,1.96E-18,7.85E-18,4.70E-18,1.70E-18,1.10E-18
90,1.89E-18,6.98E-18,5.17E-18,1.75E-18,1.12E-18
91,1.83E-18,6.15E-18,5.70E-18,1.80E-18,1.15E-18
92,1.76E-18,5.43E-18,6.32E-18,1.85E-18,1.17E-18
93,1.69E-18,4.83E-18,6.99E-18,1.89E-18,1.18E-18
94,1.62E-18,4.33E-18,7.72E-18,1.93E-18,1.17E-18
95,1.57E-18,3.92E-18,8.51E-18,1.97E-18,1.17E-18
96,1.53E-18,3.59E-18,9.41E-18,2.02E-18,1.19E-18
97,1.48E-18,3.29E-18,1.03E-17,2.07E-18,1.21E-18
98,1.42E-18,3.04E-18,1.12E-17,2.11E-18,1.23E-18
