% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
99,1.35E-18,2.82E-18,1.19E-17,2.15E-18,1.22E-18
100,1.30E-18,2.64E-18,1.26E-17,2.22E-18,1.24E-18
101,1.26E-18,2.48E-18,1.29E-17,2.31E-18,1.27E-18
102,1.25E-18,2.35E-18,1.31E-17,2.43E-18,1.31E-18
103,1.22E-18,2.24E-18,1.29E-17,2.55E-18,1.34E-18
104,1.20E-18,2.17E-18,1.25E-17,2.71E-18,1.38E-18
105,1.18E-18,2.11E-18,1.18E-17,2.92E-18,1.42E-18
106,1.18E-18,2.08E-18,1.10E-17,3.20E-18,1.48E-18
107,1.19E-18,2.04E-18,1.02E-17,3.51E-18,1.54E-18
108,1.19E-18,2.02E-18,9.30E-18,3.85E-18,1.61E-18
109,1.18E-18,1.96E-18,8.36E-18,4.20E-18,1.66E-18
110,1.16E-18,1.92E-18,7.39E-18,4.62E-18,1.70E-18
111,1.14E-18,1.86E-18,6.57E-18,5.15E-18,1.76E-18
112,1.13E-18,1.83E-18,5.92E-18,5.79E-18,1.84E-18
113,1.11E-18,1.79E-18,5.38E-18,6.52E-18,1.92E-18
114,1.09E-18,1.75E-18,4.91E-18,7.29E-18,1.98E-18
115,1.07E-18,1.70E-18,4.48E-18,8.16E-18,2.04E-18
116,1.05E-18,1.66E-18,4.14E-18,9.12E-18,2.11E-18
117,1.03E-18,1.61E-18,3.83E-18,1.01E-17,2.18E-18
118,1.01E-18,1.58E-18,3.55E-18,1.11E-17,2.25E-18
119,9.98E-19,1.55E-18,3.29E-18,1.19E-17,2.32E-18
120,9.82E-19,1.52E-18,3.08E-18,1.25E-17,2.41E-18
121,9.62E-19,1.48E-18,2.93E-18,1.29E-17,2.54E-18
122,9.40E-19,1.43E-18,2.81E-18,1.30E-17,2.67E-18
123,9.17E-19,1.39E-18,2.69E-18,1.27E-17,2.81E-18
124,8.96E-19,1.36E-18,2.57E-18,1.21E-17,2.96E-18
125,8.77E-19,1.32E-18,2.45E-18,1.13E-17,3.13E-18
126,8.62E-19,1.29E-18,2.35E-18,1.04E-17,3.33E-18
127,8.52E-19,1.27E-18,2.27E-18,9.51E-18,3.59E-18
128,8.40E-19,1.24E-18,2.20E-18,8.59E-18,3.89E-18
129,8.29E-19,1.22E-18,2.15E-18,7.71E-18,4.26E-18
130,8.11E-19,1.19E-18,2.08E-18,6.85E-18,4.68E-18
131,7.98E-19,1.16E-18,2.02E-18,6.07E-18,5.23E-18
132,7.82E-19,1.13E-18,1.95E-18,5.38E-18,5.87E-18
133,7.69E-19,1.10E-18,1.90E-18,4.84E-18,6.62E-18
134,7.51E-19,1.08E-18,1.85E-18,4.38E-18,7.45E-18
135,7.34E-19,1.05E-18,1.80E-18,3.99E-18,8.33E-18
136,7.15E-19,1.03E-18,1.74E-18,3.64E-18,9.24E-18
137,7.00E-19,1.00E-18,1.68E-18,3.34E-18,1.01E-17
138,6.85E-19,9.81E-19,1.63E-18,3.11E-18,1.11E-17
139,6.70E-19,9.64E-19,1.60E-18,2.93E-18,1.20E-17
140,6.49E-19,9.37E-19,1.55E-18,2.76E-18,1.27E-17
141,6.32E-19,9.10E-19,1.50E-18,2.59E-18,1.30E-17
142,6.16E-19,8.86E-19,1.44E-18,2.42E-18,1.30E-17
143,6.08E-19,8.77E-19,1.40E-18,2.30E-18,1.28E-17
144,6.00E-19,8.65E-19,1.38E-18,2.21E-18,1.23E-17
145,5.94E-19,8.50E-19,1.36E-18,2.14E-18,1.16E-17
146,5.86E-19,8.25E-19,1.33E-18,2.07E-18,1.07E-17
147,5.76E-19,8.08E-19,1.29E-18,2.00E-18,9.82E-18
148,5.65E-19,7.92E-19,1.26E-18,1.92E-18,8.80E-18
149,5.56E-19,7.83E-19,1.24E-18,1.85E-18,7.86E-18
150,5.47E-19,7.68E-19,1.21E-18,1.78E-18,6.97E-18
151,5.36E-19,7.57E-19,1.18E-18,1.71E-18,6.18E-18
152,5.24E-19,7.40E-19,1.15E-18,1.66E-18,5.48E-18
153,5.14E-19,7.27E-19,1.13E-18,1.61E-18,4.90E-18
154,5.06E-19,7.10E-19,1.11E-18,1.58E-18,4.44E-18
155,4.99E-19,6.95E-19,1.09E-18,1.53E-18,4.05E-18
156,4.86E-19,6.77E-19,1.05E-18,1.47E-18,3.70E-18
157,4.71E-19,6.57E-19,1.02E-18,1.41E-18,3.39E-18
158,4.58E-19,6.40E-19,9.88E-19,1.37E-18,3.11E-18
159,4.52E-19,6.27E-19,9.75E-19,1.34E-18,2.91E-18
160,4.45E-19,6.15E-19,9.58E-19,1.31E-18,2.73E-18
161,4.38E-19,6.04E-19,9.37E-19,1.27E-18,2.58E-18
162,4.25E-19,5.90E-19,9.02E-19,1.23E-18,2.43E-18
163,4.13E-19,5.77E-19,8.73E-19,1.20E-18,2.29E-18
164,3.99E-19,5.57E-19,8.43E-19,1.16E-18,2.16E-18
165,3.88E-19,5.38E-19,8.25E-19,1.12E-18,2.06E-18
166,3.76E-19,5.18E-19,8.01E-19,1.08E-18,1.95E-18
167,3.67E-19,5.02E-19,7.78E-19,1.04E-18,1.86E-18
168,3.56E-19,4.86E-19,7.45E-19,9.97E-19,1.76E-18
169,3.45E-19,4.72E-19,7.17E-19,9.56E-19,1.68E-18
170,3.33E-19,4.59E-19,6.89E-19,9.21E-19,1.60E-18
171,3.21E-19,4.45E-19,6.70E-19,8.92E-19,1.53E-18
172,3.08E-19,4.30E-19,6.47E-19,8.64E-19,1.46E-18
173,2.97E-19,4.13E-19,6.21E-19,8.28E-19,1.40E-18
174,2.85E-19,3.95E-19,5.93E-19,7.89E-19,1.33E-18
175,2.73E-19,3.76E-19,5.70E-19,7.49E-19,1.26E-18
176,2.62E-19,3.61E-19,5.53E-19,7.19E-19,1.20E-18
177,2.53E-19,3.46E-19,5.35E-19,6.91E-19,1.14E-18
178,2.44E-19,3.37E-19,5.15E-19,6.63E-19,1.08E-18
179,2.32E-19,3.23E-19,4.90E-19,6.27E-19,1.02E-18
180,2.21E-19,3.09E-19,4.65E-19,5.94E-19,9.63E-19
181,2.10E-19,2.92E-19,4.42E-19,5.60E-19,9.11E-19
182,2.01E-19,2.75E-19,4.21E-19,5.33E-19,8.65E-19
183,1.91E-19,2.59E-19,3.97E-19,5.03E-19,8.16E-19
184,1.80E-19,2.46E-19,3.69E-19,4.77E-19,7.68E-19
185,1.68E-19,2.33E-19,3.45E-19,4.50E-19,7.16E-19
186,1.57E-19,2.21E-19,3.24E-19,4.23E-19,6.71E-19
187,1.47E-19,2.07E-19,3.05E-19,3.94E-19,6.23E-19
188,1.36E-19,1.92E-19,2.84E-19,3.63E-19,5.76E-19
189,1.25E-19,1.75E-19,2.60E-19,3.32E-19,5.25E-19
190,1.14E-19,1.60E-19,2.37E-19,3.04E-19,4.79E-19
191,1.04E-19,1.45E-19,2.15E-19,2.78E-19,4.36E-19
192,9.54E-20,1.33E-19,1.97E-19,2.53E-19,3.96E-19
193,8.57E-20,1.19E-19,1.76E-19,2.25E-19,3.53E-19
194,7.54E-20,1.05E-19,1.56E-19,1.96E-19,3.11E-19
195,6.48E-20,9.01E-20,1.34E-19,1.67E-19,2.69E-19
196,5.43E-20,7.60E-20,1.13E-19,1.41E-19,2.27E-19
197,4.38E-20,6.19E-20,9.27E-20,1.15E-19,1.85E-19
198,3.38E-20,4.81E-20,7.17E-20,9.11E-20,1.45E-19
199,2.46E-20,3.48E-20,5.17E-20,6.73E-20,1.06E-19
200,1.62E-20,2.27E-20,3.35E-20,4.46E-20,6.95E-20
