% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
84,2.11E-18,1.04E-17,3.43E-18,1.59E-18,1.01E-18
85,2.03E-18,9.17E-18,3.53E-18,1.61E-18,9.78E-19
86,2.00E-18,8.66E-18,3.98E-18,1.63E-18,1.05E-18
87,1.90E-18,7.69E-18,4.20E-18,1.71E-18,1.05E-18
88,1.82E-18,6.69E-18,4.69E-18,1.73E-18,1.04E-18
89,1.80E-18,5.94E-18,5.14E-18,1.82E-18,1.12E-18
90,1.74E-18,5.24E-18,5.75E-18,1.85E-18,1.12E-18
91,1.63E-18,4.59E-18,6.36E-18,1.89E-18,1.14E-18
92,1.58E-18,4.20E-18,7.02E-18,1.93E-18,1.12E-18
93,1.49E-18,3.78E-18,7.73E-18,1.94E-18,1.05E-18
94,1.51E-18,3.44E-18,8.48E-18,2.04E-18,1.16E-18
95,1.45E-18,3.21E-18,9.44E-18,2.06E-18,1.16E-18
96,1.40E-18,2.95E-18,1.06E-17,2.15E-18,1.20E-18
97,1.30E-18,2.69E-18,1.06E-17,2.09E-18,1.14E-18
98,1.26E-18,2.59E-18,1.20E-17,2.19E-18,1.15E-18
99,1.19E-18,2.36E-18,1.16E-17,2.30E-18,1.20E-18
100,1.26E-18,2.31E-18,1.24E-17,2.44E-18,1.28E-18
101,1.18E-18,2.14E-18,1.19E-17,2.53E-18,1.27E-18
102,1.17E-18,2.11E-18,1.17E-17,2.66E-18,1.29E-18
103,1.13E-18,2.05E-18,1.08E-17,2.85E-18,1.36E-18
104,1.15E-18,2.03E-18,9.98E-18,3.23E-18,1.42E-18
105,1.14E-18,1.95E-18,9.34E-18,3.42E-18,1.43E-18
106,1.19E-18,2.03E-18,8.58E-18,3.90E-18,1.57E-18
107,1.17E-18,1.90E-18,7.77E-18,4.20E-18,1.60E-18
108,1.12E-18,1.86E-18,6.53E-18,4.49E-18,1.58E-18
109,1.09E-18,1.79E-18,5.84E-18,5.00E-18,1.65E-18
110,1.12E-18,1.82E-18,5.39E-18,5.78E-18,1.74E-18
111,1.09E-18,1.72E-18,4.90E-18,6.59E-18,1.88E-18
112,1.06E-18,1.70E-18,4.50E-18,7.13E-18,1.88E-18
113,1.03E-18,1.67E-18,3.95E-18,8.09E-18,1.91E-18
114,1.03E-18,1.62E-18,3.79E-18,9.11E-18,2.01E-18
115,1.01E-18,1.55E-18,3.50E-18,1.01E-17,2.10E-18
116,9.79E-19,1.52E-18,3.25E-18,1.12E-17,2.15E-18
117,9.63E-19,1.51E-18,2.96E-18,1.20E-17,2.18E-18
118,9.82E-19,1.53E-18,2.75E-18,1.26E-17,2.24E-18
119,9.30E-19,1.43E-18,2.69E-18,1.32E-17,2.45E-18
120,9.07E-19,1.38E-18,2.53E-18,1.32E-17,2.50E-18
121,9.03E-19,1.34E-18,2.50E-18,1.30E-17,2.71E-18
122,8.74E-19,1.35E-18,2.35E-18,1.21E-17,2.80E-18
123,8.40E-19,1.27E-18,2.21E-18,1.15E-17,2.93E-18
124,8.47E-19,1.25E-18,2.15E-18,1.05E-17,3.14E-18
125,8.29E-19,1.25E-18,2.04E-18,9.40E-18,3.40E-18
126,8.12E-19,1.19E-18,1.99E-18,8.52E-18,3.64E-18
