0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
0.0,-1.1095842537738718e-14,-1.8847089874141016e-13,-4.878664957562754e-13,-9.162041400740815e-13,-1.4663974715687361e-12,-1.986891325087875e-12,-2.5299171303003813e-12,-3.04310043822075e-12,-3.286769484382121e-12,-3.257397353944747e-12,-2.825070047149227e-12,-1.9733934079662896e-12,-7.23194091992237e-13,1.0226193996492475e-12,3.378321003160572e-12,6.851320357829278e-12,1.1201679561454121e-11,1.698968292557931e-11,2.376933075502552e-11,3.235912083787774e-11,4.27394698686747e-11,5.493783935081908e-11,6.977904413636183e-11,8.70034085586308e-11,1.0782903198070985e-10,1.321327811215978e-10,1.6045475384006932e-10,1.9376434046392286e-10,2.324150495147658e-10,2.768753369745294e-10,3.285332375097143e-10,3.877803635487985e-10,4.5595825573310777e-10,5.349705887739515e-10,6.245751286079563e-10,7.282296644358613e-10,8.454656485247557e-10,9.790454195998999e-10,1.1305369638289548e-09,1.3045795091961928e-09,1.5014753103907101e-09,1.725961129876655e-09,1.981673060751902e-09,2.2714609438953e-09,2.5991006391404748e-09,2.9637104946732063e-09,3.368410129277834e-09,3.810424348116428e-09,4.282233365802198e-09,4.784795689381223e-09,5.3144585434455435e-09,5.853344399729882e-09,6.4029367903863556e-09,6.948137490808504e-09,7.492407031731106e-09,8.015190998469392e-09,8.528735350396525e-09,9.018816460671286e-09,9.498493859522116e-09,9.957597177083232e-09,1.0406730897871417e-08,1.086386998706134e-08,1.1321356359484916e-08,1.178423301571665e-08,1.227171939532926e-08,1.2774032899702461e-08,1.3313749754249648e-08,1.3879312565093701e-08,1.4490161816395327e-08,1.514455599457605e-08,1.5849679216732312e-08,1.6604720070198827e-08,1.744224825671945e-08,1.8343693686914604e-08,1.9337104974452897e-08,2.0411408996573055e-08,2.1592321966924954e-08,2.286884877499502e-08,2.426583902579683e-08,2.5783698531271384e-08,2.741743961459852e-08,2.920565856272634e-08,3.112121315417951e-08,3.3201032168577964e-08,3.5435946518766026e-08,3.785411657517644e-08,4.042986700651856e-08,4.3206400726613924e-08,4.6140978559096196e-08,4.9294564820849285e-08,5.2538223024752624e-08,5.60612831133025e-08,5.958265269858961e-08,6.327099441169014e-08,6.689910733333015e-08,7.052962452172835e-08,7.3898153566844e-08,7.69733757216813e-08,7.947513923504412e-08,8.12837987946656e-08,8.199880004104029e-08,8.157991476969971e-08,7.959985780263398e-08,7.601283921387927e-08,7.03839432431303e-08,6.297120484957234e-08,5.3546919045970814e-08,4.226107448158266e-08,2.949484713956996e-08,1.5398972762802048e-08,4.788793446298807e-10,-1.4806391888509869e-08,-2.986965021805436e-08,-4.4284142695371645e-08,-5.757546704138575e-08,-6.934184881875517e-08,-7.925541885562028e-08,-8.72144192115333e-08,-9.298293395733792e-08,-9.685780717923e-08,-9.862119238057476e-08,-9.893115123981845e-08,-9.760348299892882e-08,-9.520076466331485e-08,-9.182260914557191e-08,-8.78469179574638e-08,-8.342681196772278e-08,-7.876986964428807e-08,-7.405808000512292e-08,-6.939558979375176e-08,-6.480757738383586e-08,-6.048979105959518e-08,-5.6330107397333745e-08,-5.2501101234560745e-08,-4.8875417516132065e-08,-4.557417280176571e-08,-4.250725316782771e-08,-3.9729520186550065e-08,-3.716088462418606e-08,-3.484219101389978e-08,-3.272134101991087e-08,-3.0766031449831067e-08,-2.896098116896062e-08,-2.7279435330048914e-08,-2.570463523995937e-08,-2.4232000553204406e-08,-2.281797198466919e-08,-2.1480512237209035e-08,-2.0188287890979588e-08,-1.8946552934896218e-08,-1.7773502668452234e-08,-1.6654759635346862e-08,-1.5587097511828563e-08,-1.4583662491856667e-08,-1.3652416888091017e-08,-1.277091924871654e-08,-1.1994571563081002e-08,-1.1283574586513899e-08,-1.0648276564464012e-08,-1.0065704017397753e-08,-9.577776379473071e-09,-9.15111463610043e-09,-8.786012421163243e-09,-8.46886583141861e-09,-8.203662062810193e-09,-7.963719061372005e-09,-7.757641343794567e-09,-7.563052240524162e-09,-7.4051283492433195e-09,-7.239810889233038e-09,-7.088039494311808e-09,-6.944781827746292e-09,-6.8160672477608605e-09,-6.67588987245303e-09,-6.561812975051764e-09,-6.434174410463268e-09,-6.3274094952679355e-09,-6.217454221681927e-09,-6.116948923844201e-09,-6.01676372644437e-09,-5.9294138937990795e-09,-5.8454002092998805e-09,-5.750123632171226e-09,-5.670618869955375e-09,-5.582516194432104e-09,-5.485846014572493e-09,-5.390822985359339e-09,-5.2916864658887454e-09,-5.1928993280294716e-09,-5.077170868028003e-09,-4.97048744434921e-09,-4.8654147937705135e-09,-4.750076869763287e-09,-4.657007177809969e-09,-4.5523000064475954e-09,-4.469993731085865e-09,-4.383419588797822e-09,-4.314240566204918e-09,-4.253950082915675e-09,-4.1971174425751355e-09,-4.153784636732198e-09,-4.108744033930179e-09,-4.072266862742953e-09,-4.042844672804973e-09,-4.014806301884997e-09,-3.989687529944662e-09,-3.965803626034337e-09,-3.9455918722965905e-09,-3.9278870671111815e-09,-3.910891482394548e-09,-3.895882048512237e-09,-3.882761532419317e-09,-3.87033577744457e-09,-3.856904927147456e-09,-3.841817016798201e-09,-3.833755317999477e-09,-3.8161323927689054e-09,-3.799455508960292e-09,-3.7786424651878215e-09,-3.758048644018742e-09,-3.733469040776818e-09,-3.7069605465639765e-09,-3.680010119214727e-09,-3.648718551653638e-09,-3.6133558915380234e-09,-3.581042606760647e-09,-3.541170853734982e-09,-3.5074627152767395e-09,-3.4656997793077962e-09,-3.4271952073146866e-09,-3.384874095093599e-09,-3.341141157484832e-09,-3.2977446935141406e-09,-3.248105205814156e-09,-3.2002773317702144e-09,-3.1448538120681337e-09,-3.0892001608832526e-09,-3.028315064627346e-09,-2.9622370252499903e-09,-2.893301930689041e-09,-2.814491940483545e-09,-2.7329116870582733e-09,-2.6421433836115205e-09,-2.5436884866587433e-09,-2.4389835211599717e-09,-2.3236309448527335e-09,-2.203049442636863e-09,-2.073718520509788e-09,-1.9400601306995557e-09,-1.8018945702439796e-09,-1.6604253524776485e-09,-1.519922541859338e-09,-1.380849479427817e-09,-1.2462012386254705e-09,-1.1175640084257013e-09,-9.976311942691035e-10,-8.856868747121997e-10,-7.840927836187407e-10,-6.919845569414039e-10,-6.103873541013174e-10,-5.38000619000758e-10,-4.740657461839024e-10,-4.1789863526547265e-10,-3.686133478893016e-10,-3.2522501449160357e-10,-2.87240143512269e-10,-2.5349906476973373e-10,-2.237614009084165e-10,-1.9747299455705874e-10,-1.742572459472939e-10,-1.5366097574781136e-10,-1.3555323690841543e-10,-1.1953348777015026e-10,-1.0557368986629479e-10,-9.296924379897333e-11,-8.170173901439371e-11,-7.177702397414748e-11,-6.283712447116985e-11,-5.5084703522565186e-11,-4.783178143583819e-11,-4.1425361573609795e-11,-3.5649990807289945e-11,-3.0552224405102566e-11,-2.6105471173805982e-11,-2.1939562239974388e-11,-1.8325824146851526e-11,-1.517733434330291e-11,-1.244491655253734e-11,-1.0021618092457619e-11,-7.86923726750359e-12,-6.043198749905929e-12,-4.515406868611626e-12,-3.243956918309622e-12,-2.203807240062595e-12,-1.4102508488435525e-12,-8.443096405924821e-13,-4.301082090355542e-13,-1.405363557959789e-13,-1.9771467127924195e-17
0.0,-6.806641072039118e-15,-1.2635584618075172e-13,-3.239399409990766e-13,-6.137428120849163e-13,-9.819411420394798e-13,-1.3261798970338342e-12,-1.6799795674981205e-12,-2.0071812045404693e-12,-2.1470386321860824e-12,-2.07510590258758e-12,-1.7619572802903386e-12,-1.1771140555397735e-12,-3.7204233154266137e-13,7.859182157264345e-13,2.338368988846021e-12,4.5681902625923004e-12,7.404186512800163e-12,1.1225826934576734e-11,1.572902704136177e-11,2.1464790047320013e-11,2.8141022466345735e-11,3.616734587922088e-11,4.591136757607491e-11,5.713415918103745e-11,7.088423280274451e-11,8.640760794068932e-11,1.0520590577356858e-10,1.26713974313953e-10,1.5193658235833896e-10,1.8091265671697703e-10,2.1441476748777745e-10,2.529400552016367e-10,2.9692856759290226e-10,3.4822905872140593e-10,4.062845967597683e-10,4.734493069371089e-10,5.491870365936924e-10,6.355772752473648e-10,7.329517325839988e-10,8.453346731231471e-10,9.714493510417564e-10,1.1160419954317077e-09,1.2803219485837673e-09,1.4661381607492657e-09,1.6758732902185183e-09,1.908771936733745e-09,2.1671082636533508e-09,2.447337391247546e-09,2.7468055156866636e-09,3.0626557453074376e-09,3.394623651269728e-09,3.728306014193165e-09,4.067247911999616e-09,4.401077675120216e-09,4.728663142050869e-09,5.036608931256811e-09,5.333995450263196e-09,5.606907289487179e-09,5.859882487243265e-09,6.087590922932071e-09,6.295311491130822e-09,6.48789932760341e-09,6.6516395723425874e-09,6.80865005253957e-09,6.944214312848661e-09,7.073371841427787e-09,7.182285182691734e-09,7.292768869670897e-09,7.396805046030087e-09,7.494759476543629e-09,7.593257479382277e-09,7.686620161219698e-09,7.795712362735492e-09,7.899024105339419e-09,8.010877934341459e-09,8.135612414478665e-09,8.263853344946174e-09,8.400972030431397e-09,8.553728645712245e-09,8.72450615065351e-09,8.920599452709994e-09,9.132197915853964e-09,9.369718974159315e-09,9.64203234370645e-09,9.952358817156607e-09,1.0287039642294545e-08,1.0672376995860503e-08,1.1114759190420114e-08,1.1578465139861778e-08,1.2117032199458917e-08,1.2696113189747331e-08,1.337268032003262e-08,1.4082583575571647e-08,1.488448743365494e-08,1.5770113371301344e-08,1.674027908163251e-08,1.7801631965181114e-08,1.8956839976057228e-08,2.028542834048921e-08,2.1686558869540345e-08,2.324317827634548e-08,2.4983053582558844e-08,2.686909692178405e-08,2.89566201639876e-08,3.121230079202334e-08,3.3716696970290124e-08,3.63789276903631e-08,3.9291865025141816e-08,4.2394466915084354e-08,4.572643980539098e-08,4.920849714653952e-08,5.289954379866263e-08,5.666691223716373e-08,6.05616952839731e-08,6.448833622108444e-08,6.831472206511027e-08,7.195799554373521e-08,7.524500900912617e-08,7.808748607169023e-08,8.004685901275782e-08,8.110895104773516e-08,8.087290582388295e-08,7.913468757877365e-08,7.55659604603774e-08,7.029405919794974e-08,6.286941949264677e-08,5.357931217892905e-08,4.2273550682194215e-08,2.9562398511045786e-08,1.5324181537881962e-08,3.277516105100993e-10,-1.5046984228673363e-08,-3.0335858191847684e-08,-4.500091665442297e-08,-5.860059220311085e-08,-7.051300551571021e-08,-8.082228795770743e-08,-8.89965451031558e-08,-9.507023901840645e-08,-9.908254614110307e-08,-1.0115776248630983e-07,-1.0139323233337273e-07,-1.0016183273665778e-07,-9.762484975234894e-08,-9.410151211086476e-08,-8.981656477585327e-08,-8.506360065531492e-08,-7.995236403414914e-08,-7.479266656302434e-08,-6.9606413756517e-08,-6.458043208268082e-08,-5.971039379317198e-08,-5.512727896752804e-08,-5.084270247270086e-08,-4.688585389411886e-08,-4.3247345639397164e-08,-3.99724585305614e-08,-3.7025664642798695e-08,-3.4367705124591144e-08,-3.2008116024677393e-08,-2.9926333189057446e-08,-2.8068086635437435e-08,-2.643374415737071e-08,-2.496267729633925e-08,-2.3673986345726443e-08,-2.2480775619011088e-08,-2.1412227301222607e-08,-2.0430889902930597e-08,-1.9542447981882132e-08,-1.869939209279633e-08,-1.7904636009104354e-08,-1.715316832221496e-08,-1.645340424232378e-08,-1.5750484205452425e-08,-1.5106083146189873e-08,-1.4456202057132556e-08,-1.3847702124415454e-08,-1.323238928743045e-08,-1.267250472376915e-08,-1.2117144988871954e-08,-1.1597789597197424e-08,-1.1116109481704696e-08,-1.0654183508188057e-08,-1.0231791083791333e-08,-9.841703986086857e-09,-9.47434473449697e-09,-9.13428863791975e-09,-8.807043362106307e-09,-8.528540601731068e-09,-8.25151554283261e-09,-7.990746887926454e-09,-7.75481584790137e-09,-7.535451603214519e-09,-7.327614583354534e-09,-7.134643413725947e-09,-6.968566134405427e-09,-6.800677461435775e-09,-6.660301660896933e-09,-6.5329845104903075e-09,-6.412956856171935e-09,-6.308287166311595e-09,-6.21921807667274e-09,-6.122631809268631e-09,-6.0500374282595395e-09,-5.98141173863151e-09,-5.919250370535085e-09,-5.856635477011913e-09,-5.802382559544954e-09,-5.754931210709365e-09,-5.7079052524833824e-09,-5.658275993330055e-09,-5.621259207554482e-09,-5.580044265654438e-09,-5.540044346169227e-09,-5.494516693503888e-09,-5.4666418356801365e-09,-5.418020408032569e-09,-5.3788704047833065e-09,-5.330436603209661e-09,-5.290386169459386e-09,-5.236297193342472e-09,-5.189932688026057e-09,-5.139194223349077e-09,-5.086028949115214e-09,-5.03226317433628e-09,-4.978594959492771e-09,-4.919294181463775e-09,-4.8637465185799986e-09,-4.805266662273195e-09,-4.745034900144954e-09,-4.686009701846123e-09,-4.621352801971663e-09,-4.5590532449737264e-09,-4.490795481199794e-09,-4.4213594371847885e-09,-4.3473231152607655e-09,-4.270630899781568e-09,-4.184264423842882e-09,-4.098883802523196e-09,-4.00200327432723e-09,-3.900785054239541e-09,-3.786199962042799e-09,-3.6655280374945512e-09,-3.529283390447882e-09,-3.3858227871833826e-09,-3.228308187346418e-09,-3.0615245278036826e-09,-2.8834141795870653e-09,-2.698484316902735e-09,-2.506238173082304e-09,-2.3102747304972666e-09,-2.11429507338442e-09,-1.9223267491012936e-09,-1.7347529479961193e-09,-1.5563156932200264e-09,-1.388995140355443e-09,-1.2333155683041161e-09,-1.0917832470394907e-09,-9.637243853792822e-10,-8.502014596167004e-10,-7.488799933832895e-10,-6.597810301214931e-10,-5.814551184784323e-10,-5.130665122146882e-10,-4.5244326386952256e-10,-3.998809088105306e-10,-3.530237634354227e-10,-3.1167139428783645e-10,-2.749920571080409e-10,-2.426323488281138e-10,-2.1392058135321407e-10,-1.8864031634201714e-10,-1.6653479588016073e-10,-1.4690320633475742e-10,-1.2962514460258943e-10,-1.1398682970294833e-10,-1.0015314627352549e-10,-8.761132897154262e-11,-7.662249399698117e-11,-6.67010570459589e-11,-5.791589213572794e-11,-4.993631365541044e-11,-4.288077282382075e-11,-3.64922201787645e-11,-3.074022052422485e-11,-2.5583771619290136e-11,-2.125346744311738e-11,-1.7366719004372932e-11,-1.4011226125660124e-11,-1.1029328945623332e-11,-8.448781735582567e-12,-6.327197656847674e-12,-4.58039456096463e-12,-3.1224153907710503e-12,-1.999478218830138e-12,-1.1706495291946284e-12,-5.944121855145569e-13,-1.9468593129907785e-13,-3.172642260833884e-17
0.0,-4.912779529534778e-15,-8.888098728251048e-14,-2.3267995343241094e-13,-4.3448900403686134e-13,-6.973720953294081e-13,-9.442383215615026e-13,-1.2034261367938005e-12,-1.4381495209998475e-12,-1.568019083374779e-12,-1.5355414373959535e-12,-1.2958898413227624e-12,-9.005533138236907e-13,-3.1768293445964293e-13,5.145987430354491e-13,1.5656203426141513e-12,3.256668229670766e-12,5.305141034854742e-12,7.9996932015795e-12,1.1264931046814624e-11,1.5354239398972676e-11,2.029947071955903e-11,2.6070210385945186e-11,3.310319521812521e-11,4.123684736965602e-11,5.109372074108544e-11,6.25735864915372e-11,7.6072120268456e-11,9.187319321166719e-11,1.1033447043493545e-10,1.3134153266277259e-10,1.5583064045816247e-10,1.8392130923476257e-10,2.1593357391986042e-10,2.5307010184816837e-10,2.952576497165787e-10,3.4371641445929466e-10,3.9882607799219656e-10,4.615724578513123e-10,5.320758160085072e-10,6.135247972356441e-10,7.051522229968654e-10,8.091226028523175e-10,9.279489472261615e-10,1.0623803639959802e-09,1.2139132024547546e-09,1.3820480650848271e-09,1.569321116549886e-09,1.7717314211718045e-09,1.9884825140418617e-09,2.217773950469117e-09,2.4580974368063307e-09,2.699740648263712e-09,2.945407067163231e-09,3.185387859465461e-09,3.42349979825483e-09,3.6447264297493495e-09,3.857536988155037e-09,4.05243010872785e-09,4.230970542789402e-09,4.389532072216353e-09,4.532265269427081e-09,4.66185549417272e-09,4.770361665734486e-09,4.866899001156123e-09,4.950297021787809e-09,5.018705238280878e-09,5.078485623929275e-09,5.12599927273858e-09,5.163384202653125e-09,5.195475712070762e-09,5.220801608567903e-09,5.238022473582584e-09,5.258884273350015e-09,5.277206311229709e-09,5.2948929338245065e-09,5.3155139884693455e-09,5.335592321066098e-09,5.3560622913546095e-09,5.389182612506992e-09,5.4119410615693055e-09,5.437816367166802e-09,5.4781217296621345e-09,5.50775398821466e-09,5.5368927497523636e-09,5.572387880693958e-09,5.6064750288263575e-09,5.63061940080357e-09,5.667732999740185e-09,5.6920390332402205e-09,5.732590237520923e-09,5.757766377729675e-09,5.803416174931354e-09,5.840302270570112e-09,5.9064797847755894e-09,5.95189396776931e-09,6.033145133951695e-09,6.120950340980187e-09,6.219891131984994e-09,6.354155823305819e-09,6.520585661051625e-09,6.710856348027545e-09,6.929471917564431e-09,7.214435195233002e-09,7.53297528164666e-09,7.887549483009579e-09,8.315556056688116e-09,8.78558507839947e-09,9.310930792607268e-09,9.892352580065842e-09,1.0544209844929765e-08,1.1248609670012051e-08,1.2007772975438868e-08,1.285804211291814e-08,1.3750509681014973e-08,1.4738586194422003e-08,1.5801795571837153e-08,1.6946025575265185e-08,1.8182801266324838e-08,1.955115614702304e-08,2.1019709145434874e-08,2.2579989817618035e-08,2.4333289988342554e-08,2.6179680282925042e-08,2.819200570328602e-08,3.0392642313839496e-08,3.2749971403169326e-08,3.5276361772386214e-08,3.7987946694415635e-08,4.089424691610377e-08,4.3964754645047636e-08,4.719160469018469e-08,5.050608306077628e-08,5.402059404389034e-08,5.744398205337742e-08,6.096248786728109e-08,6.423198140116458e-08,6.743161600148596e-08,7.006196350912404e-08,7.234133521880874e-08,7.376069244278393e-08,7.431415303389819e-08,7.371066518486687e-08,7.175747432861199e-08,6.82476501737806e-08,6.328883126706614e-08,5.6330086302057676e-08,4.79073251857911e-08,3.773039167972125e-08,2.626386409974207e-08,1.3585189565746997e-08,9.362560359135844e-11,-1.3629541877072342e-08,-2.7593451430792714e-08,-4.068296735204306e-08,-5.323065183567327e-08,-6.41446760186107e-08,-7.378566403640359e-08,-8.157568427792494e-08,-8.749723124380399e-08,-9.160327510089586e-08,-9.391288387430726e-08,-9.464660976126437e-08,-9.398811146638599e-08,-9.208273366039011e-08,-8.935825010992765e-08,-8.578108672241035e-08,-8.188672265258374e-08,-7.753708840371564e-08,-7.321766786750118e-08,-6.875729285060368e-08,-6.441196660326644e-08,-6.02016127432988e-08,-5.61639989721723e-08,-5.239898554930782e-08,-4.882056963890166e-08,-4.551487319233827e-08,-4.245127864405748e-08,-3.9655504410955566e-08,-3.708811580851944e-08,-3.4731648645843885e-08,-3.260830570000495e-08,-3.068615761612435e-08,-2.8909246346267297e-08,-2.733969944642925e-08,-2.5871217246919174e-08,-2.4533991779809614e-08,-2.328700451998016e-08,-2.2129861766229742e-08,-2.1067730228205834e-08,-2.0051554965749753e-08,-1.9093747656100777e-08,-1.8195181187946903e-08,-1.732257405262455e-08,-1.6514452401055618e-08,-1.5737661922232995e-08,-1.4996958770326244e-08,-1.4305271649105728e-08,-1.364157551395762e-08,-1.3046834007612625e-08,-1.2470814116441665e-08,-1.1963445918083378e-08,-1.1481337721816654e-08,-1.105707149324885e-08,-1.0679954998751241e-08,-1.0340595571444807e-08,-1.0040015185654846e-08,-9.77247662969851e-09,-9.533493093527385e-09,-9.333078443136878e-09,-9.15369865448445e-09,-8.983098490498964e-09,-8.837585919687377e-09,-8.698914153525382e-09,-8.571102846779506e-09,-8.452180538727512e-09,-8.340852727443476e-09,-8.227695580849063e-09,-8.125369265486741e-09,-8.002118607848413e-09,-7.904065523595261e-09,-7.791138355383588e-09,-7.693015668662901e-09,-7.57814832472918e-09,-7.481731921266419e-09,-7.373538516768622e-09,-7.2783213297697e-09,-7.177429656098891e-09,-7.089001612904148e-09,-6.9892509570843275e-09,-6.893493177274442e-09,-6.7991207781466085e-09,-6.701491395658148e-09,-6.598443785375986e-09,-6.493915535699935e-09,-6.376117269471244e-09,-6.2612196843729795e-09,-6.131897042916166e-09,-5.999277432391492e-09,-5.8570524276289004e-09,-5.705425669783473e-09,-5.545477111667708e-09,-5.372148718677225e-09,-5.190242364588506e-09,-4.989178587595357e-09,-4.7800851895469925e-09,-4.550869851575685e-09,-4.312722890439414e-09,-4.057486197512926e-09,-3.794917420153649e-09,-3.5247987428344835e-09,-3.2472194727569713e-09,-2.9716583517168373e-09,-2.7002209125834597e-09,-2.4359670598285664e-09,-2.1855375097319734e-09,-1.9497623284853673e-09,-1.7319463327936664e-09,-1.5322099269317269e-09,-1.3526517118379313e-09,-1.1926870222756451e-09,-1.0511172551094083e-09,-9.263673372963782e-10,-8.163751358492149e-10,-7.199865232549652e-10,-6.348431465422824e-10,-5.610289888352733e-10,-4.947672303131517e-10,-4.375702573449678e-10,-3.8577816703142673e-10,-3.40253056688844e-10,-3.0001532183039855e-10,-2.647719445679276e-10,-2.3362044305015955e-10,-2.0602300276447853e-10,-1.8140775850472786e-10,-1.5924830244441114e-10,-1.3972922233095227e-10,-1.225226058918791e-10,-1.0707130415669395e-10,-9.299146305229236e-11,-8.04048254458821e-11,-6.934287589147319e-11,-5.952263724555359e-11,-5.0832263296982864e-11,-4.2800859451078534e-11,-3.5650610715208654e-11,-2.9588614184596934e-11,-2.4155235595160648e-11,-1.9577650025305632e-11,-1.5339584579577316e-11,-1.1829210837354542e-11,-8.82995872261743e-12,-6.389989969423966e-12,-4.3872252000035564e-12,-2.7687300709341134e-12,-1.6134772138731446e-12,-8.285141269583573e-13,-2.8058770968582595e-13,-6.251562839615689e-17
